ID,Year,Ba,Bw,Bs
RGI60-08.02966,1980,-2.3237,1.581,-3.9047
RGI60-08.02966,1981,0.5065000000000001,2.9497,-2.4432
RGI60-08.02966,1982,-0.43330000000000035,2.0797,-2.513
RGI60-08.02966,1983,0.8642999999999995,3.0533999999999994,-2.1891
RGI60-08.02966,1984,0.1700000000000001,2.9273,-2.7573000000000003
RGI60-08.02966,1985,-0.1318999999999998,2.0072,-2.1391
RGI60-08.02966,1986,0.1405999999999995,1.6107999999999998,-1.4702000000000002
RGI60-08.02966,1987,0.7724000000000001,2.4525,-1.6801
RGI60-08.02966,1988,-1.6963,1.8072000000000001,-3.5035000000000003
RGI60-08.02966,1989,1.484899999999999,3.4678999999999998,-1.9830000000000003
RGI60-08.02966,1990,1.5618000000000003,3.9267000000000003,-2.3649
RGI60-08.02966,1991,-0.5528999999999997,1.9725000000000001,-2.5254000000000003
RGI60-08.02966,1992,0.46160000000000057,2.9900000000000007,-2.5284
RGI60-08.02966,1993,1.0267000000000002,3.168,-2.1413
RGI60-08.02966,1994,-0.17750000000000032,2.2512999999999996,-2.4288000000000003
RGI60-08.02966,1995,-0.01960000000000045,2.7873999999999994,-2.807
RGI60-08.02966,1996,-1.7906,1.2313,-3.0218999999999996
RGI60-08.02966,1997,-0.46780000000000005,2.8636,-3.3314
RGI60-08.02966,1998,-0.17240000000000033,2.3676,-2.54
RGI60-08.02966,1999,-0.44320000000000015,2.5439,-2.9871
RGI60-08.02966,2000,0.6154999999999996,3.3007,-2.6852
RGI60-08.02966,2001,-2.3376,1.1133,-3.4509
RGI60-08.02966,2002,-2.341,2.0208999999999997,-4.3619
RGI60-08.02966,2003,-2.112,1.4797,-3.5917
RGI60-08.02966,2004,-1.2267000000000001,1.8841999999999999,-3.1109
RGI60-08.02966,2005,0.4652000000000002,2.9232,-2.4579999999999997
RGI60-08.02966,2006,-3.263,1.6075,-4.8705
RGI60-08.02966,2007,0.6670999999999998,2.8773,-2.2102
RGI60-08.02966,2008,-0.5012000000000006,2.8302999999999994,-3.3315
RGI60-08.02966,2009,-0.7257000000000001,2.3925,-3.1182000000000003
RGI60-08.02966,2010,-2.2881,1.3485,-3.6366
RGI60-08.02966,2011,-1.282,1.9253,-3.2073
RGI60-08.02966,2012,0.81,2.8216,-2.0116
RGI60-08.02966,2013,-1.0259,1.9453999999999998,-2.9713
RGI60-08.02966,2014,-1.2802999999999998,2.5139,-3.7942
RGI60-08.02966,2015,0.843,2.4697,-1.6267
RGI60-08.02966,2016,-0.5114000000000002,2.6929,-3.2043
RGI60-08.02966,2017,-0.10850000000000015,2.4983,-2.6068
RGI60-08.02966,2018,-1.3652999999999995,2.4953000000000003,-3.8606000000000003
RGI60-08.02966,2019,-1.2026,1.9399000000000002,-3.1425
RGI60-08.02643,1980,-2.1288,1.6057,-3.7345
RGI60-08.02643,1981,0.6683000000000001,2.98,-2.3117
RGI60-08.02643,1982,-0.16660000000000033,2.1132999999999997,-2.2799
RGI60-08.02643,1983,1.0787000000000007,3.1260000000000003,-2.0473
RGI60-08.02643,1984,0.3794999999999997,2.9821,-2.6026
RGI60-08.02643,1985,0.15450000000000005,2.0659,-1.9114
RGI60-08.02643,1986,0.4337,1.6983000000000001,-1.2646000000000002
RGI60-08.02643,1987,0.9557000000000004,2.4896000000000003,-1.5339
RGI60-08.02643,1988,-1.3656000000000001,1.8889999999999998,-3.2546000000000004
RGI60-08.02643,1989,1.6386000000000003,3.5177,-1.8790999999999998
RGI60-08.02643,1990,1.7346,3.974,-2.2394000000000003
RGI60-08.02643,1991,-0.30549999999999994,2.0026,-2.3081
RGI60-08.02643,1992,0.6871999999999996,3.0390999999999995,-2.3519
RGI60-08.02643,1993,1.1696,3.2069,-2.0373
RGI60-08.02643,1994,0.048699999999999966,2.2923,-2.2436
RGI60-08.02643,1995,0.18230000000000018,2.8275,-2.6452
RGI60-08.02643,1996,-1.4131999999999998,1.3334000000000001,-2.7466
RGI60-08.02643,1997,-0.2552,2.9445,-3.1997
RGI60-08.02643,1998,0.05930000000000024,2.4001,-2.3407999999999998
RGI60-08.02643,1999,-0.18769999999999987,2.5888999999999998,-2.7765999999999997
RGI60-08.02643,2000,0.8244999999999998,3.3590999999999998,-2.5346
RGI60-08.02643,2001,-2.0273000000000003,1.2132999999999998,-3.2405999999999997
RGI60-08.02643,2002,-1.9445000000000001,2.1098999999999997,-4.0544
RGI60-08.02643,2003,-1.9060999999999997,1.5124000000000002,-3.4185
RGI60-08.02643,2004,-0.9071999999999999,1.9184,-2.8256
RGI60-08.02643,2005,0.6583999999999997,2.9829999999999997,-2.3245999999999998
RGI60-08.02643,2006,-2.9859,1.7037,-4.6896
RGI60-08.02643,2007,0.9155000000000001,2.9675,-2.052
RGI60-08.02643,2008,-0.23139999999999972,2.9217000000000004,-3.1531000000000002
RGI60-08.02643,2009,-0.39290000000000036,2.4610999999999996,-2.854
RGI60-08.02643,2010,-2.0277000000000003,1.3842999999999999,-3.412
RGI60-08.02643,2011,-0.9326999999999999,1.9921,-2.9248
RGI60-08.02643,2012,1.0668999999999997,2.9109,-1.844
RGI60-08.02643,2013,-0.7335999999999999,1.9804000000000002,-2.7140000000000004
RGI60-08.02643,2014,-0.9526000000000001,2.6138999999999997,-3.5665
RGI60-08.02643,2015,1.0462,2.5716,-1.5254
