Year,RGIID,Ba,Bw,Bs
1961,RGI60-08.02962,1.3624874284666082,2.9284437146861415,-1.5659562862195333
1961,RGI60-08.02963,1.337879534275923,2.7613899472393784,-1.4235104129634555
1961,RGI60-08.02966,1.4104822493442128,2.857948245499318,-1.4474659961551053
1961,RGI60-08.02969,1.1464935856875345,2.7185584481830203,-1.5720648624954858
1962,RGI60-08.00287,2.155642704632041,2.3831865455558314,-0.22754384092379037
1962,RGI60-08.00295,2.1196615786336426,2.7527680528616916,-0.6331064742280487
1962,RGI60-08.00434,2.2663339570808865,2.488572365597409,-0.22223840851652218
1962,RGI60-08.00449,1.9294792021203997,1.4822720721702978,0.4472071299501018
1962,RGI60-08.00868,1.8283774827210784,1.3880778313239008,0.4402996513971776
1962,RGI60-08.00966,1.9075277125893195,1.4265745791922837,0.4809531333970356
1962,RGI60-08.00987,1.6695480379846455,1.134736877027072,0.5348111609575734
1962,RGI60-08.01013,1.851871052307847,1.3635331024236896,0.48833794988415746
1962,RGI60-08.01026,1.6163818639161356,1.478549014984742,0.13783284893139378
1962,RGI60-08.01126,2.578835336895404,2.326381147104064,0.2524541897913396
1962,RGI60-08.01186,2.155272158629359,2.226866906995687,-0.07159474836632768
1962,RGI60-08.01217,1.5748392747184536,1.58197583475078,-0.007136560032326322
1962,RGI60-08.01258,0.9405660669122128,1.8780627557574496,-0.9374966888452368
1962,RGI60-08.01286,2.531930439286343,2.565259747693078,-0.033329308406734814
1962,RGI60-08.01484,2.0659046330253115,2.364576237204592,-0.29867160417928057
1962,RGI60-08.01598,1.6769099782503922,2.3914323772845485,-0.7145223990341562
1962,RGI60-08.01657,1.7985079936568575,2.2253992229693984,-0.4268912293125408
1962,RGI60-08.01779,1.965999957032548,1.8351332597695142,0.13086669726303352
1962,RGI60-08.02017,2.9250720125146894,3.396631660730468,-0.47155964821577867
1962,RGI60-08.02384,1.8151429454609946,1.9568613536972561,-0.14171840823626164
1962,RGI60-08.02436,1.4274160414526635,1.6789872523505807,-0.2515712108979172
1962,RGI60-08.02458,1.3739104477932145,1.393216338606094,-0.019305890812879756
1962,RGI60-08.02643,3.3053915188647456,3.22932502894561,0.07606648991913524
1962,RGI60-08.02650,2.387033121747433,3.201090294225339,-0.8140571724779057
1962,RGI60-08.02666,2.53071059116235,3.2513174672637084,-0.7206068761013582
1962,RGI60-08.02916,2.9149809485225022,3.2794095327977693,-0.36442858427526664
1962,RGI60-08.02918,3.0877035237621433,3.7418791022537743,-0.6541755784916311
1962,RGI60-08.02920,2.97064169070266,3.495716618176081,-0.5250749274734204
1962,RGI60-08.02962,3.28081085686095,3.3735655285590838,-0.09275467169813362
1962,RGI60-08.02963,3.202142269918439,3.1847236886085506,0.01741858130988859
1962,RGI60-08.02966,3.178474922370981,3.2780771958270507,-0.09960227345606971
1962,RGI60-08.02969,2.791896726782984,3.1565913651375124,-0.3646946383545282
1963,RGI60-08.00287,2.1072054091273533,3.324106939648118,-1.2169015305207647
1963,RGI60-08.00295,1.8789162753450612,3.6822598680019416,-1.8033435926568806
1963,RGI60-08.00434,-0.28189009927160796,1.5864461831343406,-1.8683362824059488
1963,RGI60-08.00449,-0.14338322119099883,0.7655537546108553,-0.9089369758018542
1963,RGI60-08.00868,0.08568833571136758,0.8034426605294898,-0.7177543248181222
1963,RGI60-08.00966,-0.019191093003889825,0.7367874939004991,-0.7559785869043889
1963,RGI60-08.00987,-0.04456843056725396,0.6116910673364562,-0.6562594979037102
1963,RGI60-08.01013,-0.1028258843622692,0.7042282626078614,-0.8070541469701307
1963,RGI60-08.01026,1.8668488383176838,2.1035061077816857,-0.23665726946400206
1963,RGI60-08.01126,0.2463941619812643,1.470259558947324,-1.22386539696606
1963,RGI60-08.01186,-0.0760819722565691,1.4084026673496712,-1.48448463960624
1963,RGI60-08.01217,-0.07520303217418922,1.02614322928512,-1.1013462614593093
1963,RGI60-08.01258,0.406405709840965,2.515126256673254,-2.108720546832289
1963,RGI60-08.01286,0.11713015333173349,1.6224223637909005,-1.505292210459167
1963,RGI60-08.01484,1.8316504246598184,3.1426041383126617,-1.3109537136528433
1963,RGI60-08.01598,1.48443238414776,3.2250962168156114,-1.7406638326678512
1963,RGI60-08.01657,1.6885882387568576,3.222266502290794,-1.5336782635339368
1963,RGI60-08.01779,0.029861646907070605,1.0111104517097023,-0.9812488048026315
1963,RGI60-08.02017,0.1076855744191896,2.21201263817569,-2.1043270637565006
1963,RGI60-08.02384,1.8684275733636297,2.804188033093465,-0.9357604597298352
1963,RGI60-08.02436,1.2354249023396253,2.5090402735436004,-1.273615371203975
1963,RGI60-08.02458,1.4851688002872387,2.033591552793471,-0.5484227525062324
1963,RGI60-08.02643,0.0018522690543414586,1.6869210172300377,-1.685068748175696
1963,RGI60-08.02650,0.005165819562391205,2.3281548959049854,-2.322989076342594
1963,RGI60-08.02666,0.08753200010562656,2.323199141490248,-2.2356671413846216
1963,RGI60-08.02916,-0.14859736283160468,1.7311499382930233,-1.879747301124628
1963,RGI60-08.02918,-0.2798588736109606,2.027144871616853,-2.3070037452278136
1963,RGI60-08.02920,-0.14898250402624233,1.8824861641961566,-2.031468668222399
1963,RGI60-08.02962,-0.26622452602733415,1.7818396028965615,-2.0480641289238957
1963,RGI60-08.02963,-0.23790305100810089,1.6756426920883407,-1.9135457430964415
1963,RGI60-08.02966,-0.17287769048601237,1.7304109851800868,-1.9032886756660992
1963,RGI60-08.02969,-0.05593785643264362,1.6873195672201327,-1.7432574236527763
1964,RGI60-08.00287,4.520405578980437,3.378424669694302,1.141980909286135
1964,RGI60-08.00295,4.322385947365166,3.8348289765223247,0.48755697084284044
1964,RGI60-08.00434,2.7233014310358725,2.307314368900931,0.4159870621349415
1964,RGI60-08.00449,1.0888684401211626,0.9169077139691317,0.17196072615203087
1964,RGI60-08.00868,1.5137464992839886,1.0538841377158257,0.4598623615681631
1964,RGI60-08.00966,1.1134076648114215,0.8824542138869851,0.23095345092443653
1964,RGI60-08.00987,1.3430508092746765,0.7789822206198317,0.5640685886548449
1964,RGI60-08.01013,1.096465023846742,0.843457853209086,0.2530071706376558
1964,RGI60-08.01026,2.9029784217976013,2.197539476006304,0.7054389457912973
1964,RGI60-08.01126,3.1678098369698264,2.1141787476276854,1.053631089342141
1964,RGI60-08.01186,2.687284582267871,2.0475145717664582,0.6397700105014126
1964,RGI60-08.01217,1.7893382935119746,1.4337333383050206,0.3556049552069539
1964,RGI60-08.01258,1.6755936260249502,2.6577557617664964,-0.9821621357415462
1964,RGI60-08.01286,3.1458101623238646,2.3586531809634086,0.7871569813604562
1964,RGI60-08.01484,4.0152279892019935,3.271694175652675,0.7435338135493179
1964,RGI60-08.01598,3.647016170845849,3.3587234110741786,0.2882927597716701
1964,RGI60-08.01657,3.8557105203610216,3.1678791409851694,0.6878313793758523
1964,RGI60-08.01779,1.5011742331989775,1.3671657286273016,0.13400850457167607
1964,RGI60-08.02017,3.5326066675871215,3.064836204506072,0.4677704630810495
1964,RGI60-08.02384,3.492836175216247,2.8335366819433716,0.6592994932728755
1964,RGI60-08.02436,2.666634909806326,2.5272086242606915,0.13942628554563458
1964,RGI60-08.02458,2.549361740994917,2.093694565227058,0.45566717576785915
1964,RGI60-08.02643,3.069374244995381,2.5046954695083796,0.564678775487002
1964,RGI60-08.02650,2.3411062532250426,2.9941664743746887,-0.6530602211496465
1964,RGI60-08.02666,2.5467683715856766,2.9777853793813693,-0.43101700779569274
1964,RGI60-08.02916,2.4983515015969124,2.5983630328673364,-0.10001153127042403
1964,RGI60-08.02918,2.632950386192648,3.0814777580446675,-0.4485273718520192
1964,RGI60-08.02920,2.528132897619888,2.832574729829365,-0.30444183220947696
1964,RGI60-08.02962,2.962197268142426,2.6456280615282854,0.3165692066141406
1964,RGI60-08.02963,2.9559887540234766,2.4947075802075283,0.4612811738159485
1964,RGI60-08.02966,2.942823536927126,2.5819407211993797,0.3608828157277461
1964,RGI60-08.02969,2.4315370553098776,2.5270697858227797,-0.09553273051290212
1965,RGI60-08.00287,2.574055988034719,3.2148557351154725,-0.6407997470807536
1965,RGI60-08.00295,2.378794135025166,3.703569274677158,-1.3247751396519918
1965,RGI60-08.00434,1.6138528285740483,2.7230826146215152,-1.109229786047467
1965,RGI60-08.00449,1.3254429578073406,1.5468694628101325,-0.221426505002792
1965,RGI60-08.00868,1.5130268030473195,1.5223679164704729,-0.009341113423153274
1965,RGI60-08.00966,1.3687081330756925,1.4887446740750767,-0.12003654099938424
1965,RGI60-08.00987,1.4724494690285623,1.2406276891067984,0.23182177992176403
1965,RGI60-08.01013,1.3386290021784069,1.42295585086598,-0.0843268486875732
1965,RGI60-08.01026,2.7514377714729217,2.063901452999054,0.6875363184738682
1965,RGI60-08.01126,1.9643398523569753,2.4853820142981364,-0.5210421619411614
1965,RGI60-08.01186,1.2190502315107055,2.3515786829727663,-1.132528451462061
1965,RGI60-08.01217,1.0420481565421578,1.7415078482012047,-0.6994596916590469
1965,RGI60-08.01258,1.3155294225369405,2.3317354871800546,-1.0162060646431144
1965,RGI60-08.01286,1.5099615254685346,2.708922621290192,-1.1989610958216572
1965,RGI60-08.01484,2.237061464971947,3.098983907700741,-0.8619224427287939
1965,RGI60-08.01598,1.910694688142243,3.2437599964820136,-1.3330653083397708
1965,RGI60-08.01657,2.235802351416024,3.0942450534679637,-0.8584427020519401
1965,RGI60-08.01779,1.184715836954481,1.728155405414626,-0.5434395684601449
1965,RGI60-08.02017,2.0513720070943364,3.5303274513763,-1.4789554442819637
1965,RGI60-08.02384,2.444030500211963,2.720443686627735,-0.2764131864157718
1965,RGI60-08.02436,2.1406664001564586,2.3927039897220865,-0.2520375895656278
1965,RGI60-08.02458,2.3505354062986776,1.9535820509330888,0.396953355365589
1965,RGI60-08.02643,1.5152858889147003,2.6914818298914183,-1.176195940976718
1965,RGI60-08.02650,1.7736873048565838,3.5340064133875697,-1.760319108530986
