glacier_id,utm_zone,utm_east_approx,utm_north_approx,altitude_approx,location_description,location_id,stake_no,altitude,utm_east,utm_north,balance_winter,balance_summer,balance_netto,dt_prev_year_min_date,dt_curr_year_max_date,dt_curr_year_min_date,stake_remark,flag_correction,approx_loc,approx_altitude,diff_north,diff_east,diff_altitude,lat,lon,lat_approx,lon_approx
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,470.0,529665.0,7780105.0,1.06,-4.48,-3.42,02.10.1997 00:00,03.06.1998 00:00,01.10.1998 00:00,,,N,N,55.0,265.0,-30.0,70.12591221652814,21.781892904686135,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,449.0,529825.0,7780110.0,0.65,-4.61,-3.96,01.10.1998 00:00,25.05.1999 00:00,25.09.1999 00:00,,,N,N,60.0,425.0,-51.0,70.12593858551081,21.786111295138287,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,449.0,529825.0,7780110.0,1.77,-4.33,-2.57,25.09.1999 00:00,23.05.2000 00:00,11.10.2000 00:00,Avvik mellom stakemålt og sondert snødyp skyldes 15 cm smelting etter min.mål. høsten 1999.,,N,N,60.0,425.0,-51.0,70.12593858551081,21.786111295138287,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,479.0,529640.0,7780095.0,0.88,-4.57,-3.69,11.10.2000 00:00,06.06.2001 00:00,07.10.2001 00:00,,,N,N,45.0,240.0,-21.0,70.12582542978684,21.78123066651917,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,406.0,529825.0,7780100.0,1.18,-4.69,-3.51,07.10.2001 00:00,21.05.2002 00:00,12.10.2002 00:00,,,N,N,50.0,425.0,-94.0,70.12584892312267,21.786107894417597,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,457.0,529562.0,7780100.0,1.75,-4.41,-2.66,12.10.2002 00:00,24.05.2003 00:00,02.10.2003 00:00,,,N,N,50.0,162.0,-43.0,70.12587921777627,21.779176720848614,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,482.0,529422.0,7780077.0,0.9,-5.13,-4.23,02.10.2003 00:00,29.04.2004 00:00,04.10.2004 00:00,,,N,N,27.0,22.0,-18.0,70.1256890107793,21.77547939808343,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,476.0,529450.0,7780089.0,0.82,-5.14,-4.32,04.10.2004 00:00,26.05.2005 00:00,26.10.2005 00:00,,,N,N,39.0,50.0,-24.0,70.1257934086137,21.77622134209529,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,473.0,529462.0,7780102.0,0.77,-5.09,-4.32,26.10.2005 00:00,25.04.2006 00:00,06.10.2006 00:00,,,N,N,52.0,62.0,-27.0,70.12590859877989,21.776541959853393,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,474.0,529459.0,7780097.0,1.06,-4.53,-3.47,06.10.2006 00:00,22.05.2007 00:00,03.11.2007 00:00,,,N,N,47.0,59.0,-26.0,70.12586411033847,21.77646121725798,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,470.0,529482.0,7780104.0,0.86,-3.25,-2.39,03.11.2007 00:00,22.05.2008 00:00,16.10.2008 00:00,,,N,N,54.0,82.0,-30.0,70.1259242446996,21.77706971945353,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,500.0,529354.0,7780046.0,1.24,-4.75,-3.51,16.10.2008 00:00,07.05.2009 00:00,07.10.2009 00:00,,,N,N,-4.0,-46.0,0.0,70.12541880872408,21.773676943560055,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,468.0,529490.0,7780110.0,1.1,-3.66,-2.57,07.10.2009 00:00,19.05.2010 00:00,23.09.2010 00:00,,,N,N,60.0,90.0,-32.0,70.12597712717138,21.77728257203767,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,468.0,529488.0,7780116.0,1.59,-4.87,-3.29,23.09.2010 00:00,11.05.2011 00:00,20.09.2011 00:00,,,N,N,66.0,88.0,-32.0,70.12603115350977,21.777231880538512,70.12544943169739,21.77489055712701
54,34,529400.0,7780050.0,500.0,Nederst på bretunga,L10,L1097,467.0,529498.0,7780113.0,0.6,-3.3,-2.7,20.09.2011 00:00,19.04.2012 00:00,25.09.2012 00:00,"Sondering viste 2,25 m snødyp mot staken 1,85 m. Kan bety at det var 40 cm smelting etter minimumsmåling den 20. september 2011.",,N,N,63.0,98.0,-33.0,70.12600311061796,21.777494416663867,70.12544943169739,21.77489055712701
54,34,529120.0,7780000.0,470.0,,L15,L1510,539.0,529130.0,7780005.0,1.87,-4.03,-2.16,23.09.2010 00:00,11.05.2011 00:00,20.09.2011 00:00,,,N,N,5.0,10.0,69.0,70.12507660067516,21.767760075984526,70.12503289906563,21.767494882308828
54,34,529120.0,7780000.0,470.0,,L15,L1510,537.0,529141.0,7779999.0,0.78,-3.12,-2.34,20.09.2011 00:00,19.04.2012 00:00,25.09.2012 00:00,"Sondering viste bare 0,36 m w.e. (1,25 m snødyp)",,N,N,-1.0,21.0,67.0,70.12502155979426,21.768047969500028,70.12503289906563,21.767494882308828
54,34,529120.0,7780000.0,470.0,,L15,L1512,540.0,529105.0,7780020.0,2.02,-5.85,-3.83,25.09.2012 00:00,14.05.2013 00:00,07.11.2013 00:00,,,N,N,20.0,-15.0,70.0,70.12521391861205,21.76710621935635,70.12503289906563,21.767494882308828
54,34,529120.0,7780000.0,470.0,,L15,L1513,516.0,529106.0,7780010.0,1.75,-3.93,-2.18,07.11.2013 00:00,09.05.2014 00:00,24.09.2014 00:00,Staken var skjev i mai. Sondert snødyp er derfor brukt.,,N,N,10.0,-14.0,46.0,70.12512414291011,21.767129254405944,70.12503289906563,21.767494882308828
54,34,529120.0,7780000.0,470.0,,L15,L1513,514.0,529118.0,7780016.0,1.14,-3.21,-2.07,24.09.2014 00:00,08.05.2015 00:00,23.09.2015 00:00,,,N,N,16.0,-2.0,44.0,70.12517658544328,21.767447487430857,70.12503289906563,21.767494882308828
54,34,529120.0,7780000.0,470.0,,L15,L1513,514.0,529118.0,7780016.0,1.42,-3.99,-2.57,23.09.2015 00:00,23.05.2016 00:00,22.09.2016 00:00,,,N,N,16.0,-2.0,44.0,70.12517658544328,21.767447487430857,70.12503289906563,21.767494882308828
54,34,529120.0,7780000.0,470.0,,L15,L1513,514.0,529121.0,7780009.0,1.52,-3.22,-1.7,22.09.2016 00:00,25.04.2017 00:00,29.09.2017 00:00,Sondert snødyp.,,N,N,9.0,1.0,44.0,70.12511348261653,21.7675242237712,70.12503289906563,21.767494882308828
54,34,529120.0,7780000.0,470.0,,L15,L1513,514.0,529125.0,7780010.0,1.27,-5.09,-3.83,29.09.2017 00:00,10.05.2018 00:00,12.10.2018 00:00,Sondert snødyp.,,N,N,10.0,5.0,44.0,70.12512199701096,21.767629969480435,70.12503289906563,21.767494882308828
54,34,529120.0,7780000.0,470.0,,L15,L1513,513.0,529128.0,7780012.0,1.72,-3.02,-1.31,12.10.2018 00:00,23.05.2019 00:00,27.09.2019 00:00,Sondert snødyp.,,N,N,12.0,8.0,43.0,70.12513959061407,21.76770969394277,70.12503289906563,21.767494882308828
54,34,529120.0,7780000.0,470.0,,L15,L1513,512.0,529138.0,7780012.0,2.45,-3.39,-0.95,27.09.2019 00:00,26.05.2020 00:00,29.09.2020 00:00,Sondert snødyp,,N,N,12.0,18.0,42.0,70.12513846051365,21.767973228366895,70.12503289906563,21.767494882308828
54,34,529120.0,7780000.0,470.0,,L15,L1520,529.0,529010.0,7780025.0,2.59,-3.54,-0.95,29.09.2020 00:00,04.05.2021 00:00,18.09.2021 00:00,"Sondert snødyp, skredmasser på målestedet",,N,N,25.0,-110.0,59.0,70.12526945821534,21.764604285259445,70.12503289906563,21.767494882308828
54,34,528290.0,7780290.0,635.0,,L20,L2012,629.0,528710.0,7780020.0,1.96,-5.52,-3.56,25.09.2012 00:00,14.05.2013 00:00,07.11.2013 00:00,,,N,N,-270.0,420.0,-6.0,70.12525821229532,21.756696546450957,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2013,606.0,528713.0,7780280.0,2.05,-4.31,-2.26,07.11.2013 00:00,09.05.2014 00:00,24.09.2014 00:00,Staken var svært skjev i mai. Sondert snødyp er derfor brukt.,,N,N,-10.0,423.0,-29.0,70.12758911617028,21.75686073423692,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2013,605.0,528721.0,7780281.0,1.91,-3.91,-2.0,24.09.2014 00:00,08.05.2015 00:00,23.09.2015 00:00,bv er basert på sondering i posisjonen,,N,N,-9.0,431.0,-30.0,70.1275971911789,21.757071914768456,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2013,605.0,528721.0,7780281.0,1.22,-4.24,-3.02,23.09.2015 00:00,23.05.2016 00:00,22.09.2016 00:00,,,N,N,-9.0,431.0,-30.0,70.1275971911789,21.757071914768456,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2013,602.0,528735.0,7780273.0,1.82,-3.49,-1.67,22.09.2016 00:00,25.04.2017 00:00,29.09.2017 00:00,bv er basert på sondering i posisjonen,,N,N,-17.0,445.0,-33.0,70.12752390044321,21.75743828601511,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2013,601.0,528745.0,7780270.0,1.32,-4.74,-3.42,29.09.2017 00:00,10.05.2018 00:00,12.10.2018 00:00,Staken var smeltet ut i august. Stakelengden i august er derfor estimert.,,N,N,-20.0,455.0,-34.0,70.1274958865515,21.757700867948603,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2013,600.0,528750.0,7780275.0,2.11,-3.24,-1.13,12.10.2018 00:00,23.05.2019 00:00,27.09.2019 00:00,bv er basert på sondering i posisjonen,,N,N,-15.0,460.0,-35.0,70.12754016039065,21.757834289799156,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2013,599.0,528758.0,7780273.0,2.19,-3.14,-0.95,27.09.2019 00:00,26.05.2020 00:00,29.09.2020 00:00,bv er basert på sondering i posisjonen,,N,N,-17.0,468.0,-36.0,70.12752133536227,21.75804448632149,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2020,602.0,528735.0,7780260.0,,,-2.07,29.09.2020 00:00,04.05.2021 00:00,18.09.2021 00:00,"Snødypet ble ikke målt i mai, derfor kun bn",,N,N,-30.0,445.0,-33.0,70.12740733857342,21.75743402595753,70.12772555274043,21.74571508128984
54,34,528290.0,7780290.0,635.0,,L20,L2089,640.0,528765.0,7780220.0,1.7,-3.52,-1.82,,24.05.1989 00:00,19.10.1989 00:00,,,N,N,-70.0,475.0,5.0,70.12704534057757,21.75821159630235,70.12772555274043,21.74571508128984
